,first_name,last_name,age,country
1,Kulap,Bunnag,164,THA
5,Pranee,Wattana,69,THA
6,Kanya,Wattana,98,THA
7,Suriya,Wattana,20,THA
8,Kamon,Metharom,24,THA
15,Somboon,Metharom,23,THA
19,Kanda,Metharom,29,THA
20,Suriya,Metharom,18,THA
25,Wattana,Wattana,46,THA
28,Somporn,Bunnag,27,THA
34,Tanisorn,Pitiwat,69,THA
35,Chanisa,Treewuth,98,THA
36,Kijaporn,Paorod,20,THA
37,Kittitat,Wattanakosol,24,THA
44,Pim,Phungam,23,THA
48,Ptchaya,Lertwittaya,29,THA
49,Surawat,Maithong,18,THA
54,Pakpoom,Siritada,46,THA
57,Boriwan,Pongpiroj,27,THA
